dataset,run,arraylength,time,cputime,memory
randomArrays,1,469,7.85,15.63,0.00
randomArrays,1,783,2.90,0.00,0.00
randomArrays,1,464,1.16,0.00,0.00
randomArrays,1,267,0.24,0.00,0.00
randomArrays,1,828,1.54,0.00,0.00
randomArrays,1,607,0.92,0.00,0.00
randomArrays,1,319,0.26,0.00,0.00
randomArrays,1,431,0.47,0.00,0.00
randomArrays,1,941,2.36,0.00,0.00
randomArrays,1,937,2.46,0.00,0.00
randomArrays,1,619,2.45,0.00,0.00
randomArrays,1,370,0.78,0.00,0.00
randomArrays,1,478,1.09,0.00,0.00
randomArrays,1,107,0.07,0.00,0.00
randomArrays,1,910,1.56,0.00,0.00
randomArrays,1,381,0.37,0.00,0.00
randomArrays,1,699,1.04,0.00,0.00
randomArrays,1,452,0.48,0.00,0.00
randomArrays,1,882,1.80,0.00,0.00
randomArrays,1,697,1.35,0.00,0.00
randomArrays,1,39,0.03,0.00,0.00
randomArrays,1,382,0.44,0.00,0.00
randomArrays,1,980,1.99,0.00,0.00
randomArrays,1,202,0.15,0.00,0.00
randomArrays,1,674,1.11,0.00,0.00
randomArrays,1,184,0.12,0.00,0.00
randomArrays,1,853,1.51,0.00,0.00
randomArrays,1,101,0.05,0.00,0.00
randomArrays,1,329,0.30,0.00,0.00
randomArrays,1,837,1.56,0.00,0.00
randomArrays,1,952,2.30,15.63,0.00
randomArrays,1,676,1.18,15.63,0.00
randomArrays,1,248,0.26,0.00,0.00
randomArrays,1,845,1.74,0.00,0.00
randomArrays,1,707,1.26,0.00,0.00
randomArrays,1,458,0.50,0.00,0.00
randomArrays,1,219,0.17,0.00,0.00
randomArrays,1,268,0.26,0.00,0.00
randomArrays,1,201,0.13,0.00,0.00
randomArrays,1,520,0.66,0.00,0.00
randomArrays,1,832,1.69,0.00,0.00
randomArrays,1,800,1.71,0.00,0.00
randomArrays,1,753,1.33,0.00,0.00
randomArrays,1,286,0.25,0.00,0.00
randomArrays,1,841,1.60,0.00,0.00
randomArrays,1,240,0.21,0.00,0.00
randomArrays,1,370,0.37,0.00,0.00
randomArrays,1,287,0.25,0.00,0.00
randomArrays,1,89,0.06,0.00,0.00
randomArrays,1,881,1.56,0.00,0.00
randomArrays,1,187,0.13,0.00,0.00
randomArrays,1,373,0.44,0.00,0.00
randomArrays,1,194,0.31,0.00,0.00
randomArrays,1,382,0.39,0.00,0.00
randomArrays,1,826,1.61,0.00,0.00
randomArrays,1,781,1.53,0.00,0.00
randomArrays,1,814,1.55,0.00,0.00
randomArrays,1,525,0.61,0.00,0.00
randomArrays,1,136,0.08,0.00,0.00
randomArrays,1,454,0.58,0.00,0.00
randomArrays,1,563,1.08,0.00,0.00
randomArrays,1,226,0.20,0.00,0.00
randomArrays,1,345,0.42,0.00,0.00
randomArrays,1,514,0.64,0.00,0.00
randomArrays,1,871,1.56,0.00,0.00
randomArrays,1,939,1.75,0.00,0.00
randomArrays,1,397,0.41,0.00,0.00
randomArrays,1,429,0.45,0.00,0.00
randomArrays,1,421,0.54,0.00,0.00
randomArrays,1,747,1.23,0.00,0.00
randomArrays,1,19,0.02,0.00,0.00
randomArrays,1,74,0.04,0.00,0.00
randomArrays,1,259,0.30,0.00,0.00
randomArrays,1,846,1.80,0.00,0.00
randomArrays,1,789,1.39,0.00,0.00
randomArrays,1,671,1.07,0.00,0.00
randomArrays,1,368,0.37,0.00,0.00
randomArrays,1,448,0.44,0.00,0.00
randomArrays,1,237,0.17,0.00,0.00
randomArrays,1,627,0.97,0.00,0.00
randomArrays,1,584,1.03,0.00,0.00
randomArrays,1,328,0.35,0.00,0.00
randomArrays,1,606,0.99,0.00,0.00
randomArrays,1,563,1.12,0.00,0.00
randomArrays,1,774,1.61,0.00,0.00
randomArrays,1,206,0.15,0.00,0.00
randomArrays,1,907,1.79,0.00,0.00
randomArrays,1,37,0.03,0.00,0.00
randomArrays,1,878,1.82,0.00,0.00
randomArrays,1,284,0.21,0.00,0.00
randomArrays,1,853,1.32,0.00,0.00
randomArrays,1,247,0.18,0.00,0.00
randomArrays,1,241,0.22,0.00,0.00
randomArrays,1,348,0.37,0.00,0.00
randomArrays,1,814,1.97,0.00,0.00
randomArrays,1,245,0.21,0.00,0.00
randomArrays,1,335,0.28,0.00,0.00
randomArrays,1,497,1.13,0.00,0.00
randomArrays,1,280,0.23,0.00,0.00
randomArrays,1,664,1.06,0.00,0.00
randomArrays,1,523,0.64,0.00,0.00
randomArrays,1,841,1.17,0.00,0.00
randomArrays,1,290,0.23,0.00,0.00
randomArrays,1,158,0.12,0.00,0.00
randomArrays,1,783,1.22,0.00,0.00
randomArrays,1,638,0.98,15.63,0.00
randomArrays,1,314,0.25,0.00,0.00
randomArrays,1,484,0.64,0.00,0.00
randomArrays,1,972,2.02,0.00,0.00
randomArrays,1,652,0.97,0.00,0.00
randomArrays,1,543,0.95,0.00,0.00
randomArrays,1,487,0.66,0.00,0.00
randomArrays,1,686,1.04,0.00,0.00
randomArrays,1,183,0.14,0.00,0.00
randomArrays,1,572,0.75,0.00,0.00
randomArrays,1,747,1.25,0.00,0.00
randomArrays,1,780,1.39,0.00,0.00
randomArrays,1,828,1.39,0.00,0.00
randomArrays,1,591,0.90,0.00,0.00
randomArrays,1,415,0.47,0.00,0.00
randomArrays,1,648,0.94,0.00,0.00
randomArrays,1,204,0.15,0.00,0.00
randomArrays,1,510,0.72,0.00,0.00
randomArrays,1,422,0.42,0.00,0.00
randomArrays,1,541,0.62,0.00,0.00
randomArrays,1,875,1.51,0.00,0.00
randomArrays,1,742,1.38,0.00,0.00
randomArrays,1,384,0.43,0.00,0.00
randomArrays,1,266,0.22,0.00,0.00
randomArrays,1,137,0.09,0.00,0.00
randomArrays,1,970,1.96,0.00,0.00
randomArrays,1,685,0.95,0.00,0.00
randomArrays,1,665,1.09,0.00,0.00
randomArrays,1,319,0.34,0.00,0.00
randomArrays,1,808,1.24,0.00,0.00
randomArrays,1,143,0.11,0.00,0.00
randomArrays,1,147,0.08,0.00,0.00
randomArrays,1,929,1.89,0.00,0.00
randomArrays,1,906,1.74,0.00,0.00
randomArrays,1,425,0.65,0.00,0.00
randomArrays,1,736,1.57,0.00,0.00
randomArrays,1,65,0.04,0.00,0.00
randomArrays,1,305,0.20,0.00,0.00
randomArrays,1,194,0.12,0.00,0.00
randomArrays,1,545,0.82,0.00,0.00
randomArrays,1,49,0.03,0.00,0.00
randomArrays,1,731,1.45,0.00,0.00
randomArrays,1,712,1.30,0.00,0.00
randomArrays,1,732,1.11,0.00,0.00
randomArrays,1,57,0.03,0.00,0.00
randomArrays,1,983,2.21,0.00,0.00
randomArrays,1,345,0.40,0.00,0.00
randomArrays,1,152,0.10,0.00,0.00
randomArrays,1,963,1.93,0.00,0.00
randomArrays,1,544,0.83,0.00,0.00
randomArrays,1,870,1.50,15.63,0.00
randomArrays,1,557,0.69,0.00,0.00
randomArrays,1,168,0.11,0.00,0.00
randomArrays,1,373,0.34,0.00,0.00
randomArrays,1,416,0.45,0.00,0.00
randomArrays,1,942,1.73,0.00,0.00
randomArrays,1,966,1.81,0.00,0.00
randomArrays,1,363,0.34,0.00,0.00
randomArrays,1,955,1.83,0.00,0.00
randomArrays,1,626,0.83,0.00,0.00
randomArrays,1,948,2.09,0.00,0.00
randomArrays,1,193,0.12,0.00,0.00
randomArrays,1,361,0.37,0.00,0.00
randomArrays,1,195,0.14,0.00,0.00
randomArrays,1,905,1.68,0.00,0.00
randomArrays,1,105,0.06,0.00,0.00
randomArrays,1,750,1.32,0.00,0.00
randomArrays,1,565,1.01,0.00,0.00
randomArrays,1,538,0.66,0.00,0.00
randomArrays,1,488,0.63,0.00,0.00
randomArrays,1,30,0.02,0.00,0.00
randomArrays,1,554,0.93,0.00,0.00
randomArrays,1,407,0.39,0.00,0.00
randomArrays,1,958,2.10,0.00,0.00
randomArrays,1,137,0.08,0.00,0.00
randomArrays,1,101,0.05,0.00,0.00
randomArrays,1,633,0.85,0.00,0.00
randomArrays,1,44,0.05,0.00,0.00
randomArrays,1,738,1.14,0.00,0.00
randomArrays,1,763,1.23,0.00,0.00
randomArrays,1,319,0.31,0.00,0.00
randomArrays,1,682,1.07,0.00,0.00
randomArrays,1,820,1.61,0.00,0.00
randomArrays,1,896,1.81,0.00,0.00
randomArrays,1,712,1.44,0.00,0.00
randomArrays,1,554,0.83,0.00,0.00
randomArrays,1,940,2.24,0.00,0.00
randomArrays,1,787,1.45,0.00,0.00
randomArrays,1,255,0.25,0.00,0.00
randomArrays,1,135,0.08,0.00,0.00
randomArrays,1,546,0.71,0.00,0.00
randomArrays,1,643,1.19,0.00,0.00
randomArrays,1,197,0.12,0.00,0.00
randomArrays,1,643,0.67,0.00,0.00
randomArrays,1,858,1.84,0.00,0.00
randomArrays,1,134,0.08,0.00,0.00
randomArrays,1,133,0.08,0.00,0.00
randomArrays,1,317,0.29,0.00,0.00
randomArrays,1,312,0.33,0.00,0.00
randomArrays,1,160,0.09,0.00,0.00
randomArrays,1,838,1.10,0.00,0.00
randomArrays,1,316,0.29,0.00,0.00
randomArrays,1,111,0.06,0.00,0.00
randomArrays,1,530,0.68,15.63,0.00
randomArrays,1,827,1.58,0.00,0.00
randomArrays,1,994,1.73,0.00,0.00
randomArrays,1,348,0.36,0.00,0.00
randomArrays,1,652,1.64,0.00,0.00
randomArrays,1,339,0.34,0.00,0.00
randomArrays,1,908,1.79,0.00,0.00
randomArrays,1,655,0.86,0.00,0.00
randomArrays,1,899,1.64,15.63,0.00
randomArrays,1,377,0.43,0.00,0.00
randomArrays,1,793,1.32,0.00,0.00
randomArrays,1,12,0.02,0.00,0.00
randomArrays,1,236,0.19,0.00,0.00
randomArrays,1,851,1.45,0.00,0.00
randomArrays,1,462,0.50,0.00,0.00
randomArrays,1,49,0.03,0.00,0.00
randomArrays,1,649,1.06,0.00,0.00
randomArrays,1,299,0.32,0.00,0.00
randomArrays,1,796,1.35,0.00,0.00
randomArrays,1,227,0.16,0.00,0.00
randomArrays,1,929,1.53,0.00,0.00
randomArrays,1,166,0.10,0.00,0.00
randomArrays,1,277,0.31,0.00,0.00
randomArrays,1,179,0.10,0.00,0.00
randomArrays,1,809,1.42,0.00,0.00
randomArrays,1,232,0.17,0.00,0.00
randomArrays,1,247,0.16,0.00,0.00
randomArrays,1,99,0.06,0.00,0.00
randomArrays,1,649,1.06,0.00,0.00
randomArrays,1,15,0.02,0.00,0.00
randomArrays,1,646,0.84,0.00,0.00
randomArrays,1,463,0.95,0.00,0.00
randomArrays,1,587,0.99,0.00,0.00
randomArrays,1,898,1.94,0.00,0.00
randomArrays,1,643,0.94,0.00,0.00
randomArrays,1,840,1.64,0.00,0.00
randomArrays,1,708,1.41,0.00,0.00
randomArrays,1,214,0.16,0.00,0.00
randomArrays,1,565,0.81,0.00,0.00
randomArrays,1,157,0.08,0.00,0.00
randomArrays,1,265,0.21,0.00,0.00
randomArrays,1,171,0.11,0.00,0.00
randomArrays,1,136,0.09,0.00,0.00
randomArrays,1,290,0.26,0.00,0.00
randomArrays,1,96,0.05,0.00,0.00
randomArrays,1,11,0.02,0.00,0.00
randomArrays,1,311,0.28,0.00,0.00
randomArrays,1,566,0.86,0.00,0.00
randomArrays,1,328,0.33,0.00,0.00
randomArrays,1,358,0.35,0.00,0.00
randomArrays,1,674,1.06,0.00,0.00
randomArrays,1,490,0.69,0.00,0.00
randomArrays,1,36,0.02,0.00,0.00
randomArrays,1,408,0.40,0.00,0.00
randomArrays,1,49,0.02,0.00,0.00
randomArrays,1,581,0.76,0.00,0.00
randomArrays,1,879,1.68,0.00,0.00
randomArrays,1,61,0.03,0.00,0.00
randomArrays,1,656,1.09,0.00,0.00
randomArrays,1,411,0.43,0.00,0.00
randomArrays,1,361,0.35,0.00,0.00
randomArrays,1,994,2.26,0.00,0.00
randomArrays,1,416,0.46,0.00,0.00
randomArrays,1,966,1.62,0.00,0.00
randomArrays,1,92,0.05,0.00,0.00
randomArrays,1,429,0.34,0.00,0.00
randomArrays,1,658,0.78,0.00,0.00
randomArrays,1,877,1.65,0.00,0.00
randomArrays,1,780,1.35,0.00,0.00
randomArrays,1,669,0.96,0.00,0.00
randomArrays,1,394,0.44,0.00,0.00
randomArrays,1,892,1.64,0.00,0.00
randomArrays,1,180,0.09,0.00,0.00
randomArrays,1,829,1.44,0.00,0.00
randomArrays,1,255,0.17,0.00,0.00
randomArrays,1,374,0.32,0.00,0.00
randomArrays,1,37,0.02,0.00,0.00
randomArrays,1,919,1.77,15.63,0.00
randomArrays,1,850,1.42,15.63,0.00
randomArrays,1,930,2.00,0.00,0.00
randomArrays,1,419,0.42,0.00,0.00
randomArrays,1,720,0.88,0.00,0.00
randomArrays,1,378,0.50,0.00,0.00
randomArrays,1,815,1.30,0.00,0.00
randomArrays,1,566,0.63,0.00,0.00
randomArrays,1,623,1.06,0.00,0.00
randomArrays,1,597,0.84,0.00,0.00
randomArrays,1,148,0.09,0.00,0.00
randomArrays,1,580,0.94,0.00,0.00
randomArrays,1,244,0.22,0.00,0.00
randomArrays,1,703,1.15,0.00,0.00
randomArrays,1,743,1.65,0.00,0.00
randomArrays,1,923,1.81,0.00,0.00
randomArrays,1,284,0.24,0.00,0.00
randomArrays,1,35,0.02,0.00,0.00
randomArrays,1,941,1.49,0.00,0.00
randomArrays,1,39,0.03,0.00,0.00
randomArrays,1,276,0.27,0.00,0.00
randomArrays,1,494,0.89,0.00,0.00
randomArrays,1,547,0.77,0.00,0.00
randomArrays,1,837,1.67,0.00,0.00
randomArrays,1,183,0.12,0.00,0.00
randomArrays,1,360,0.36,0.00,0.00
randomArrays,1,627,1.12,0.00,0.00
randomArrays,1,833,1.61,0.00,0.00
randomArrays,1,491,0.68,0.00,0.00
randomArrays,1,623,0.86,0.00,0.00
randomArrays,1,850,1.44,0.00,0.00
randomArrays,1,35,0.02,0.00,0.00
randomArrays,1,584,0.91,0.00,0.00
randomArrays,1,34,0.03,0.00,0.00
randomArrays,1,335,0.35,0.00,0.00
randomArrays,1,145,0.11,0.00,0.00
randomArrays,1,61,0.03,0.00,0.00
randomArrays,1,88,0.04,0.00,0.00
randomArrays,1,442,0.49,0.00,0.00
randomArrays,1,729,1.41,0.00,0.00
randomArrays,1,312,0.35,0.00,0.00
randomArrays,1,620,0.98,0.00,0.00
randomArrays,1,77,0.04,0.00,0.00
randomArrays,1,784,1.52,0.00,0.00
randomArrays,1,720,1.37,0.00,0.00
randomArrays,1,796,1.48,0.00,0.00
randomArrays,1,81,0.04,0.00,0.00
randomArrays,1,900,1.57,15.63,0.00
randomArrays,1,570,0.92,0.00,0.00
randomArrays,1,749,1.14,0.00,0.00
randomArrays,1,723,1.41,0.00,0.00
randomArrays,1,54,0.03,0.00,0.00
randomArrays,1,261,0.20,0.00,0.00
randomArrays,1,831,1.69,0.00,0.00
randomArrays,1,133,0.08,0.00,0.00
randomArrays,1,165,0.10,0.00,0.00
randomArrays,1,441,0.48,0.00,0.00
randomArrays,1,782,1.48,0.00,0.00
randomArrays,1,384,0.42,0.00,0.00
randomArrays,1,283,0.25,0.00,0.00
randomArrays,1,71,0.07,0.00,0.00
randomArrays,1,374,0.30,0.00,0.00
randomArrays,1,204,0.15,0.00,0.00
randomArrays,1,437,0.51,0.00,0.00
randomArrays,1,662,1.12,0.00,0.00
randomArrays,1,821,1.81,0.00,0.00
randomArrays,1,198,0.13,0.00,0.00
randomArrays,1,776,1.22,0.00,0.00
randomArrays,1,124,0.12,0.00,0.00
randomArrays,1,202,0.14,0.00,0.00
randomArrays,1,806,1.37,0.00,0.00
randomArrays,1,448,0.63,0.00,0.00
randomArrays,1,383,0.33,0.00,0.00
randomArrays,1,992,1.97,0.00,0.00
randomArrays,1,714,1.63,0.00,0.00
randomArrays,1,528,0.81,0.00,0.00
randomArrays,1,137,0.17,0.00,0.00
randomArrays,1,122,0.06,0.00,0.00
randomArrays,1,883,1.72,0.00,0.00
randomArrays,1,614,1.24,0.00,0.00
randomArrays,1,841,1.73,15.63,0.00
randomArrays,1,471,0.62,0.00,0.00
randomArrays,1,871,1.62,0.00,0.00
randomArrays,1,938,1.97,0.00,0.00
randomArrays,1,238,0.21,0.00,0.00
randomArrays,1,772,1.15,0.00,0.00
randomArrays,1,334,0.37,0.00,0.00
randomArrays,1,274,0.26,0.00,0.00
randomArrays,1,385,0.47,0.00,0.00
randomArrays,1,455,0.53,0.00,0.00
randomArrays,1,202,0.14,0.00,0.00
randomArrays,1,349,0.28,0.00,0.00
randomArrays,1,170,0.10,0.00,0.00
randomArrays,1,365,0.34,0.00,0.00
randomArrays,1,921,1.76,0.00,0.00
randomArrays,1,368,0.35,0.00,0.00
randomArrays,1,851,1.66,0.00,0.00
randomArrays,1,736,1.41,0.00,0.00
randomArrays,1,64,0.03,0.00,0.00
randomArrays,1,371,0.27,0.00,0.00
randomArrays,1,962,1.74,0.00,0.00
randomArrays,1,758,1.27,0.00,0.00
randomArrays,1,565,0.99,0.00,0.00
randomArrays,1,246,0.31,0.00,0.00
randomArrays,1,390,0.36,0.00,0.00
randomArrays,1,833,1.30,0.00,0.00
randomArrays,1,359,0.53,0.00,0.00
randomArrays,1,647,1.18,15.63,0.00
randomArrays,1,830,1.50,0.00,0.00
randomArrays,1,790,1.29,0.00,0.00
randomArrays,1,789,1.44,0.00,0.00
randomArrays,1,33,0.02,0.00,0.00
randomArrays,1,324,0.32,0.00,0.00
randomArrays,1,460,0.48,0.00,0.00
randomArrays,1,660,1.15,0.00,0.00
randomArrays,1,553,0.88,0.00,0.00
randomArrays,1,181,0.13,0.00,0.00
randomArrays,1,106,0.06,0.00,0.00
randomArrays,1,198,0.15,0.00,0.00
randomArrays,1,795,1.41,0.00,0.00
randomArrays,1,149,0.16,0.00,0.00
randomArrays,1,42,0.02,0.00,0.00
randomArrays,1,538,0.78,0.00,0.00
randomArrays,1,405,0.51,0.00,0.00
randomArrays,1,741,1.54,0.00,0.00
randomArrays,1,88,0.05,0.00,0.00
randomArrays,1,896,1.65,0.00,0.00
randomArrays,1,574,0.67,0.00,0.00
randomArrays,1,34,0.02,0.00,0.00
randomArrays,1,83,0.05,0.00,0.00
randomArrays,1,311,0.33,0.00,0.00
randomArrays,1,168,0.12,0.00,0.00
randomArrays,1,720,1.15,0.00,0.00
randomArrays,1,499,0.75,0.00,0.00
randomArrays,1,280,0.25,0.00,0.00
randomArrays,1,960,1.65,0.00,0.00
randomArrays,1,351,0.59,0.00,0.00
randomArrays,1,840,1.29,0.00,0.00
randomArrays,1,826,1.63,0.00,0.00
randomArrays,1,780,1.35,0.00,0.00
randomArrays,1,592,0.80,0.00,0.00
randomArrays,1,601,0.77,0.00,0.00
randomArrays,1,924,1.90,0.00,0.00
randomArrays,1,630,0.90,0.00,0.00
randomArrays,1,738,1.14,0.00,0.00
randomArrays,1,43,0.02,0.00,0.00
randomArrays,1,546,0.69,0.00,0.00
randomArrays,1,118,0.07,0.00,0.00
randomArrays,1,812,1.27,15.63,0.00
randomArrays,1,636,1.28,0.00,0.00
randomArrays,1,253,0.23,0.00,0.00
randomArrays,1,443,0.49,0.00,0.00
randomArrays,1,292,0.26,0.00,0.00
randomArrays,1,723,1.17,0.00,0.00
randomArrays,1,398,0.49,0.00,0.00
randomArrays,1,368,0.37,0.00,0.00
randomArrays,1,534,0.64,0.00,0.00
randomArrays,1,899,1.67,0.00,0.00
randomArrays,1,137,0.08,0.00,0.00
randomArrays,1,187,0.10,0.00,0.00
randomArrays,1,164,0.09,0.00,0.00
randomArrays,1,735,1.43,0.00,0.00
randomArrays,1,524,0.74,0.00,0.00
randomArrays,1,512,0.65,0.00,0.00
randomArrays,1,15,0.02,0.00,0.00
randomArrays,1,737,1.13,0.00,0.00
randomArrays,1,616,0.94,0.00,0.00
randomArrays,1,349,0.34,0.00,0.00
randomArrays,1,645,1.19,0.00,0.00
randomArrays,1,502,0.61,0.00,0.00
randomArrays,1,932,1.83,15.63,0.00
randomArrays,1,778,1.28,15.63,0.00
randomArrays,1,126,0.08,0.00,0.00
randomArrays,1,836,1.72,0.00,0.00
randomArrays,1,911,2.04,0.00,0.00
randomArrays,1,265,0.22,0.00,0.00
randomArrays,1,694,1.06,0.00,0.00
randomArrays,1,188,0.15,0.00,0.00
randomArrays,1,282,0.24,0.00,0.00
randomArrays,1,347,0.36,0.00,0.00
randomArrays,1,768,1.50,0.00,0.00
randomArrays,1,778,1.52,0.00,0.00
randomArrays,1,549,0.74,0.00,0.00
randomArrays,1,12,0.02,0.00,0.00
randomArrays,1,336,0.33,0.00,0.00
randomArrays,1,949,2.07,0.00,0.00
randomArrays,1,179,0.13,0.00,0.00
randomArrays,1,634,1.16,0.00,0.00
randomArrays,1,38,0.02,0.00,0.00
randomArrays,1,123,0.07,0.00,0.00
randomArrays,1,282,0.24,0.00,0.00
randomArrays,1,452,0.73,0.00,0.00
randomArrays,1,217,0.15,0.00,0.00
randomArrays,1,629,1.18,0.00,0.00
randomArrays,1,275,0.27,0.00,0.00
randomArrays,1,66,0.03,0.00,0.00
randomArrays,1,308,0.32,0.00,0.00
randomArrays,1,809,1.58,0.00,0.00
randomArrays,1,634,1.01,0.00,0.00
randomArrays,1,478,0.48,0.00,0.00
randomArrays,1,336,0.28,0.00,0.00
randomArrays,1,672,1.10,0.00,0.00
randomArrays,1,583,0.96,15.63,0.00
randomArrays,1,413,0.43,0.00,0.00
randomArrays,1,683,1.10,0.00,0.00
randomArrays,1,463,0.47,0.00,0.00
randomArrays,1,267,0.22,0.00,0.00
randomArrays,1,73,0.04,0.00,0.00
randomArrays,1,641,0.97,0.00,0.00
randomArrays,1,827,1.38,0.00,0.00
randomArrays,1,864,1.93,15.63,0.00
randomArrays,1,672,1.22,0.00,0.00
randomArrays,1,948,2.08,0.00,0.00
randomArrays,1,523,0.65,0.00,0.00
randomArrays,1,113,0.07,0.00,0.00
randomArrays,1,855,1.45,15.63,0.00
randomArrays,1,764,1.28,0.00,0.00
randomArrays,1,559,0.80,0.00,0.00
randomArrays,1,256,0.18,0.00,0.00
randomArrays,1,861,1.24,0.00,0.00
randomArrays,1,215,0.15,0.00,0.00
randomArrays,1,610,0.88,0.00,0.00
randomArrays,1,133,0.12,0.00,0.00
randomArrays,1,721,1.03,0.00,0.00
randomArrays,1,826,1.77,0.00,0.00
randomArrays,1,732,1.42,0.00,0.00
randomArrays,1,218,0.15,0.00,0.00
randomArrays,1,897,1.61,0.00,0.00
randomArrays,1,95,0.05,0.00,0.00
randomArrays,1,596,0.90,0.00,0.00
randomArrays,1,333,0.32,0.00,0.00
randomArrays,1,139,0.08,0.00,0.00
randomArrays,1,90,0.04,0.00,0.00
randomArrays,1,724,1.19,0.00,0.00
randomArrays,1,24,0.02,0.00,0.00
randomArrays,1,182,0.16,0.00,0.00
randomArrays,1,440,0.70,0.00,0.00
randomArrays,1,521,0.80,0.00,0.00
randomArrays,1,653,1.02,0.00,0.00
randomArrays,1,422,0.47,0.00,0.00
randomArrays,1,919,1.67,0.00,0.00
randomArrays,1,399,0.38,0.00,0.00
randomArrays,1,148,0.12,0.00,0.00
randomArrays,1,651,1.07,0.00,0.00
randomArrays,1,953,1.76,0.00,0.00
randomArrays,1,205,0.14,0.00,0.00
randomArrays,1,713,1.16,0.00,0.00
randomArrays,1,335,0.26,0.00,0.00
randomArrays,1,800,1.19,0.00,0.00
randomArrays,1,263,0.23,0.00,0.00
randomArrays,1,305,0.26,0.00,0.00
randomArrays,1,772,1.59,0.00,0.00
randomArrays,1,760,1.29,0.00,0.00
randomArrays,1,985,1.73,0.00,0.00
randomArrays,1,468,0.66,0.00,0.00
randomArrays,1,542,0.63,0.00,0.00
randomArrays,1,137,0.08,0.00,0.00
randomArrays,1,877,1.48,0.00,0.00
randomArrays,1,407,0.42,0.00,0.00
randomArrays,1,13,0.01,0.00,0.00
randomArrays,1,857,1.57,0.00,0.00
randomArrays,1,961,1.43,0.00,0.00
randomArrays,1,963,1.83,0.00,0.00
randomArrays,1,792,1.41,0.00,0.00
randomArrays,1,190,0.13,0.00,0.00
randomArrays,1,859,1.73,0.00,0.00
randomArrays,1,989,2.08,15.63,0.00
randomArrays,1,816,1.69,0.00,0.00
randomArrays,1,950,1.96,0.00,0.00
randomArrays,1,241,0.19,0.00,0.00
randomArrays,1,957,2.17,15.63,0.00
randomArrays,1,155,0.11,0.00,0.00
randomArrays,1,625,0.80,0.00,0.00
randomArrays,1,573,0.79,0.00,0.00
randomArrays,1,278,0.27,0.00,0.00
randomArrays,1,67,0.03,0.00,0.00
randomArrays,1,785,1.02,0.00,0.00
randomArrays,1,576,1.02,0.00,0.00
randomArrays,1,949,1.97,0.00,0.00
randomArrays,1,274,0.21,0.00,0.00
randomArrays,1,827,1.57,0.00,0.00
randomArrays,1,246,0.19,0.00,0.00
randomArrays,1,497,0.55,0.00,0.00
randomArrays,1,98,0.04,0.00,0.00
randomArrays,1,87,0.04,0.00,0.00
randomArrays,1,362,0.34,0.00,0.00
randomArrays,1,748,1.35,0.00,0.00
randomArrays,1,553,1.13,15.63,0.00
randomArrays,1,931,1.58,0.00,0.00
randomArrays,1,24,0.01,0.00,0.00
randomArrays,1,836,1.50,0.00,0.00
randomArrays,1,524,0.77,0.00,0.00
randomArrays,1,286,0.27,0.00,0.00
randomArrays,1,379,0.34,0.00,0.00
randomArrays,1,654,0.91,0.00,0.00
randomArrays,1,795,1.45,0.00,0.00
randomArrays,1,335,0.32,0.00,0.00
randomArrays,1,218,0.14,0.00,0.00
randomArrays,1,390,0.43,0.00,0.00
randomArrays,1,80,0.04,0.00,0.00
randomArrays,1,602,0.99,0.00,0.00
randomArrays,1,687,1.05,0.00,0.00
randomArrays,1,573,1.40,0.00,0.00
randomArrays,1,857,1.72,0.00,0.00
randomArrays,1,484,0.64,0.00,0.00
randomArrays,1,633,0.98,0.00,0.00
randomArrays,1,393,0.46,0.00,0.00
randomArrays,1,953,1.98,0.00,0.00
randomArrays,1,718,1.19,0.00,0.00
randomArrays,1,330,0.35,0.00,0.00
randomArrays,1,273,0.22,0.00,0.00
randomArrays,1,323,0.32,0.00,0.00
randomArrays,1,971,1.81,0.00,0.00
randomArrays,1,156,0.10,0.00,0.00
randomArrays,1,971,1.89,0.00,0.00
randomArrays,1,202,0.13,0.00,0.00
randomArrays,1,201,0.16,0.00,0.00
randomArrays,1,230,0.13,0.00,0.00
randomArrays,1,953,1.63,0.00,0.00
randomArrays,1,399,0.37,0.00,0.00
randomArrays,1,354,0.34,0.00,0.00
randomArrays,1,334,0.30,0.00,0.00
randomArrays,1,538,0.62,0.00,0.00
randomArrays,1,238,0.18,0.00,0.00
randomArrays,1,415,0.43,0.00,0.00
randomArrays,1,498,0.67,0.00,0.00
randomArrays,1,193,0.15,0.00,0.00
randomArrays,1,125,0.08,0.00,0.00
randomArrays,1,100,0.15,0.00,0.00
randomArrays,1,742,1.57,0.00,0.00
randomArrays,1,588,0.93,0.00,0.00
randomArrays,1,355,0.32,0.00,0.00
randomArrays,1,923,1.76,0.00,0.00
randomArrays,1,167,0.09,0.00,0.00
randomArrays,1,518,0.57,0.00,0.00
randomArrays,1,649,0.99,0.00,0.00
randomArrays,1,280,0.24,0.00,0.00
randomArrays,1,842,1.63,0.00,0.00
randomArrays,1,586,0.81,0.00,0.00
randomArrays,1,519,0.68,0.00,0.00
randomArrays,1,112,0.05,0.00,0.00
randomArrays,1,320,0.36,0.00,0.00
randomArrays,1,955,2.29,0.00,0.00
randomArrays,1,61,0.03,0.00,0.00
randomArrays,1,709,1.42,0.00,0.00
randomArrays,1,671,1.01,0.00,0.00
randomArrays,1,437,0.48,0.00,0.00
randomArrays,1,917,1.48,0.00,0.00
randomArrays,1,499,0.92,0.00,0.00
randomArrays,1,503,0.63,0.00,0.00
